"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-0.868103489085339,0.0605275435253282,-14.3422884611545,0.102342570444789,-8.48233032757035
"mu_asc2",-0.843857507823742,0.060015440345681,-14.0606734360897,0.0962028119816172,-8.77165116530054
"mu_natural",0.575684093480153,0.0241325291991952,23.8551081292942,0.0452826902292059,12.7131159956759
"mu_walking",-0.0285870411470993,0.00266250779156266,-10.7368854422474,0.00699613295469762,-4.0861203370791
"mu_rent",-0.0198175757291852,0.00203652035312641,-9.73109632749889,0.00335499383706643,-5.90688886227982
