"mu_asc1","mu_asc2","mu_natural","mu_walking","mu_rent","logLike"
-1,-1,1,-0.01,-0.1,-5249.85769673097
-1,-1,1,-0.01,-0.1,-5249.85769673097
-1.00007314666501,-1.00011339089793,0.996997901385368,-0.0353574009058068,-0.0599526898190597,-4558.46054891559
-0.999729476333873,-0.999822403036495,0.994036918894631,-0.0208598812071779,-0.0334367076711855,-4395.31229088431
-0.996373650653806,-1.00828844498657,0.631415396104909,-0.0105499576069039,-0.0281854827560746,-4139.42347285393
-0.863891061110128,-0.829529390719241,0.600386118606385,-0.0136611830284944,-0.0296738204580684,-4115.66054466247
-0.822256550475039,-0.849026381176726,0.599961075678996,-0.0139451566056615,-0.0297139970555219,-4114.73534956862
-0.833560754535751,-0.832728950456214,0.57698866391245,-0.0218588537101585,-0.0248227815411771,-4052.00968280814
-0.775886731669324,-0.7295601597207,0.520648309503095,-0.0317383892138797,-0.0229503816027635,-4024.76610320201
-0.781001378460835,-0.737381058253936,0.545240134727201,-0.0344061028062114,-0.0219345035425414,-4023.44158531518
-0.776645667197302,-0.733689115964609,0.540621643022527,-0.0346337203344286,-0.0223945477209449,-4023.39246724192
-0.775548261278233,-0.732792869598929,0.539732204437509,-0.0345673879502501,-0.0221878105776805,-4023.38374322412
-0.776269628596671,-0.73336666297187,0.540370267445703,-0.0345707152497438,-0.0222164505642759,-4023.3827773672
-0.776269607982211,-0.733366693904885,0.540369830756646,-0.0345722247518208,-0.0222176176484887,-4023.38277664726
-0.776252135733369,-0.733366519712444,0.540298254489513,-0.0345723692104109,-0.022217456192994,-4023.38277444559
