"mu_asc1","mu_asc2","mu_natural","mu_walking","mu_rent","logLike"
-1,-1,1,-0.01,-0.1,-2780.10158801081
-1,-1,1,-0.01,-0.1,-2780.10158801081
-1.00043162267303,-1.00043419112008,0.990284594519913,-0.048707619301622,-0.0131791762858424,-2436.22988345087
-1.00046567394228,-1.00048693702646,0.988430065551213,-0.0444258133333832,-0.00967042910592348,-2426.5445599007
-1.0147210732116,-1.01863259995576,0.731184515917088,-0.0374830481395543,-0.0083314887902831,-2276.37776678996
-1.01401900946657,-0.872025424875508,0.713136711875119,-0.0386919597584243,-0.00966490818832605,-2273.84901920698
-0.879773100009395,-0.816490424596359,0.691077885451833,-0.0397864581825567,-0.0113084318640668,-2268.04681797989
-0.970097876428084,-0.89433111480721,0.584017600517589,-0.024722656421688,-0.0148803319791003,-2198.93734545174
-1.01602418266523,-0.983587444563552,0.379807302581526,-0.0126105019945817,-0.020377085540502,-2174.83147277278
-1.01053326913343,-0.969652597496288,0.437225915554089,-0.0172972342125378,-0.0216245268557354,-2171.20278679736
-1.00908676214751,-0.966725072485503,0.438624390897268,-0.0155486406251014,-0.021417375749964,-2170.9410465832
-1.00760399905313,-0.965446819892985,0.430714781311036,-0.0159090755153157,-0.021307160906979,-2170.88560459386
-1.00894911337827,-0.966935648071903,0.432570689926963,-0.0158941225670175,-0.0213533033412824,-2170.88213880278
-1.00894892950408,-0.966935444331794,0.432570491872842,-0.0158876026637153,-0.0213489735261631,-2170.88212377743
-1.00887233636694,-0.966863853558475,0.432543395307981,-0.0158873879834916,-0.0213485398869184,-2170.88211600011
