"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-1.12072050222663,0.0750422655625347,-14.9345238156849,0.157087580460832,-7.13436733151583
"mu_asc2",-0.928770434296469,0.0711253913644146,-13.0582119335958,0.138639653588233,-6.69916874615803
"mu_natural",0.452819312367817,0.0287762492293798,15.7358698403787,0.0514983148566014,8.7928957215145
"mu_walking",-0.0175843976702774,0.00239314205150329,-7.34782862522998,0.0079083439195875,-2.22352465308497
"mu_rent",-0.0159577102426027,0.00221622194094155,-7.20041163197907,0.00777777739574521,-2.051705703397
