"mu_asc1","mu_asc2","mu_natural","mu_walking","mu_rent","logLike"
-0.05,-0.05,0.03,-4e-04,-20,-6216.81463459877
-0.05,-0.05,0.03,-4e-04,-20,-6216.81463459877
-0.0500135909508417,-0.050011472484226,0.0299774114124593,-0.00132373677116051,-20.0000000613803,-6139.91255093395
-0.0504796379420236,-0.0499686723488569,0.0294158842185344,-0.00130830955250256,-20.0000005612803,-6139.20289919811
-0.0526630845535641,-0.0496384719688367,0.0298569820530503,-0.00129786228617291,-20.0000075455027,-6138.75834787974
-0.0529108536251785,-0.0501590480215344,0.029914506998855,-0.00128968610832439,-20.0000104770225,-6138.68239512092
-0.0522643937762471,-0.0500565229159493,0.0291439564970605,-0.00117005364564965,-20.1670333636924,-6136.47543357496
-0.0480638818141533,-0.0461596708434884,0.0267448299329025,-0.00103510496991273,-21.5158836159463,-6135.57422910096
-0.0485460789432157,-0.046493855029797,0.0272260203432285,-0.00105301421471457,-21.4560071420018,-6135.37127639019
-0.0479131198739422,-0.0458377025731192,0.0269490937298711,-0.00104876556730222,-21.6828814366411,-6135.33735931292
-0.0477634733122127,-0.0457022145247503,0.0268552206335384,-0.00104487256798168,-21.7519050854294,-6135.3351710976
-0.0477570230280009,-0.0456953670315827,0.0268535766270702,-0.00104501839020571,-21.7530285769584,-6135.33516658846
-0.0477570731856157,-0.0456953812911292,0.0268536357689793,-0.00104501726634717,-21.7530831067288,-6135.33516656968
