"mu_asc1","mu_asc2","mu_natural","mu_walking","mu_rent","logLike"
-0.05,-0.05,0.03,-4e-04,-20,-2103.3822171454
-0.05,-0.05,0.03,-4e-04,-20,-2103.3822171454
-0.0500028426453885,-0.0499982777250739,0.0299427950170226,-0.00185766246158846,-19.9999999400731,-2102.93117340194
-0.0483266896785188,-0.0473644598435507,0.0277651897982524,-0.00185184242225213,-19.9999781246925,-2098.6258577752
-0.0444816546727766,-0.0417490195136665,0.0284323948912967,-0.00198740614796385,-19.9999385373985,-2093.11949300215
-0.0414316781189961,-0.0429639580834397,0.0283662454120947,-0.00200346789798621,-19.9999136037147,-2093.08907431063
-0.0440457503048657,-0.0412779484531689,0.0282984012847349,-0.00152169172562329,-18.5792896199378,-2071.643176493
-0.0426519629376976,-0.0394872641689496,0.0279091867194785,-0.00134880008337497,-18.8604677458466,-2070.40341140955
-0.0412128729314237,-0.0382253128739686,0.0273703126658339,-0.00131254159305331,-19.3012557147196,-2070.24085346799
-0.0389966112463829,-0.0363581669852458,0.0262150063315156,-0.00125890366817795,-20.1207789456633,-2070.08596693306
-0.0387741550957957,-0.0361182434713755,0.0259427455662555,-0.00125119468395758,-20.3290891300026,-2070.06447811555
-0.0386742581825664,-0.03598636619358,0.0258415612032305,-0.00124811315800741,-20.380249364845,-2070.06393095617
-0.0387015703585761,-0.0360205798674581,0.0258607302853936,-0.00124876462475403,-20.3724496065841,-2070.06389470586
-0.0387015665650081,-0.0360205753943521,0.025860728750089,-0.00124867275905714,-20.3724496065576,-2070.06389463682
-0.0387013309302949,-0.0360203417442219,0.0258604231343171,-0.00124868028448641,-20.3719946588076,-2070.06389457068
