"mu_asc1","mu_asc2","mu_natural","mu_walking","mu_rent","logLike"
-0.05,-0.05,0.03,-4e-04,-20,-4562.24909541003
-0.05,-0.05,0.03,-4e-04,-20,-4562.24909541003
-0.0500081971417258,-0.0500043282492748,0.0299488687492736,-0.00120214702494348,-19.9999999682866,-4474.82154069033
-0.0499524774987909,-0.0492946946966785,0.0259384735386452,-0.00111616931473405,-19.9999918972853,-4452.76951434616
-0.0484627658344825,-0.0441220531444363,0.025506410280152,-0.00118633120066419,-19.9999759803123,-4445.01793141291
-0.0462363136333882,-0.0438873008473425,0.0253631030481636,-0.0012098119481368,-19.9999753788259,-4443.92105646292
-0.0359879997806872,-0.0307185307728275,0.0187319089838799,-0.00140261665375672,-22.511944835839,-4441.5352881718
-0.0442911121629436,-0.0396991623624012,0.0234834808247008,-0.00141228366267254,-20.245119713194,-4435.63201028708
-0.0443687021070906,-0.0397250852294403,0.0234876751175996,-0.00146204341439581,-20.000184778067,-4435.07729063533
-0.0453679315278033,-0.0405201334473986,0.0238773730967538,-0.00153524872311661,-19.4546764093232,-4434.76470787834
-0.0459400888864389,-0.0410399521208963,0.0241376848586803,-0.00155522718986798,-19.2725072918095,-4434.730767789
-0.0464811989756397,-0.0415568463060942,0.0244025179836618,-0.00156835002172303,-19.1272770182193,-4434.71647158046
-0.0465690472812857,-0.0416458375953696,0.0244487929254437,-0.00156892304944593,-19.1078162582752,-4434.71590084574
-0.0465690474802541,-0.0416458376951876,0.0244488080737533,-0.00156877035910459,-19.1078162582851,-4434.7158964698
-0.0465692428234958,-0.0416460082727525,0.0244493966170194,-0.00156875510707652,-19.1083383448767,-4434.71589335998
