"mu_asc1","mu_asc2","mu_natural","mu_walking","mu_rent","logLike"
-0.05,-0.05,0.03,-4e-04,-20,-1306.68080981897
-0.05,-0.05,0.03,-4e-04,-20,-1306.68080981897
-0.0500238374930011,-0.0500173092372094,0.0299496247223174,-0.00185142871122764,-20.0000000766684,-1290.97414268585
-0.0514359260029045,-0.0501054266504403,0.027948625583354,-0.00179085286112081,-19.9999983685405,-1289.45191767301
-0.0580989198036723,-0.0498146767628743,0.0289784512697269,-0.00176098877756905,-19.9999998105577,-1288.34272913744
-0.0586933748665329,-0.0515051986168348,0.0291776117929183,-0.00174122918985601,-19.9999891582908,-1288.20609403947
-0.0632521321081842,-0.0567757923422736,0.0297083425656478,-0.00128668129764514,-18.7137239347979,-1278.54345831214
-0.0635374781811993,-0.0569367750199271,0.0293506346452012,-0.00109992591543086,-18.8935261992501,-1277.80602886706
-0.0618645641647453,-0.0554312445420486,0.0287523812408417,-0.00106514980838925,-19.3306364976649,-1277.62746980556
-0.0530274348219249,-0.0474851712581385,0.0253397297429514,-0.00095086616245393,-21.5338564169401,-1277.28736334687
-0.0548757631580495,-0.0491711902521791,0.0259965501588192,-0.000989737614821155,-21.2737401962689,-1277.18931705055
-0.0538612585441389,-0.0482296317673728,0.0254704090537001,-0.000971222728531798,-21.6061066811422,-1277.1717406306
-0.0533766481692296,-0.0477893474430149,0.0252753919246278,-0.000963786298501685,-21.7666979759046,-1277.16975547235
-0.0533766814426678,-0.047789369937413,0.0252754336876831,-0.000963874774103579,-21.7666979761201,-1277.16975520732
-0.05338382274008,-0.0477930877888551,0.0252776695145715,-0.000963871708452254,-21.7743135212757,-1277.16973423909
-0.0533903138995345,-0.0477949996722793,0.0252799725841394,-0.000963654205279381,-21.773475687318,-1277.16972805057
-0.0533880992303198,-0.0477933874301782,0.025279363950874,-0.000963587959951167,-21.7686854134494,-1277.16972215327
