"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-17.286718161817,3.17306908537176,-5.44794887747984,4.50147364889789,-3.84023533405542
"mu_asc2",-18.0522717578283,3.13059523758027,-5.7664023573298,5.20870977676511,-3.46578568043001
"mu_natural",17.7961235414542,2.76372494870539,6.43918040751142,4.87774170806771,3.64843499441959
"mu_walking",-1.9834843230279,0.240124924466507,-8.26021841520479,0.259499872206085,-7.64348863128802
"mu_rent",-2.66348384437805,0.162322131980731,-16.4086302457772,0.218819853262983,-12.1720392581427
"sig_asc1",18.2074898915945,2.6577354709265,6.85075324115957,3.33895771289975,5.45304596738424
"sig_asc2",7.76198402603497,2.54109356312521,3.05458411239638,1.9207774208924,4.04106375970867
"sig_natural",14.8425729240585,2.01691769692137,7.35903747917641,3.27917199671115,4.52631729562977
"sig_walking",1.12740545104483,0.154402649969147,7.30172345662532,0.156605910737414,7.19899680501321
"sig_rent",1.50881230608735,0.164957847092646,9.14665372202598,0.193881848515178,7.78212255372233
