"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-14.1807601159167,1.91567937435684,-7.40247053120658,2.68692284344484,-5.27769531995043
"mu_asc2",-17.0222479587871,1.99875490161697,-8.51642587343565,2.57878877944892,-6.6008694059948
"mu_natural",21.173157761352,1.51871435161094,13.9415010722017,2.21102764276043,9.57616148793045
"mu_walking",-2.33030357326638,0.190396284334096,-12.2392282045657,0.250132152051044,-9.31628962593677
"mu_rent",-2.74775209935302,0.094306105999998,-29.136523772417,0.118592545811449,-23.1696864297162
"sig_asc1",12.883481483573,1.63432547408843,7.88305737616854,1.40808366886239,9.14965620898204
"sig_asc2",21.4480915232046,1.87764622933479,11.4228608073861,2.2869341205422,9.37853492610428
"sig_natural",16.7432434838864,1.2129263744621,13.8040064396419,1.73476888949744,9.65157006518428
"sig_walking",-1.35943961046748,0.116850091320783,-11.6340483357902,0.147885282518644,-9.1925280684783
"sig_rent",1.16441761755295,0.0937600924028502,12.4191176406898,0.109274430314593,10.6559019726818
