"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-17.0435369235423,3.13950824386418,-5.42872819552296,3.98453026898864,-4.27742689174457
"mu_asc2",-18.6503170937618,3.65276337920991,-5.10581035714277,4.80943570410656,-3.87785974097483
"mu_natural",30.0188296466491,5.60427116203625,5.3564199123695,10.0056769931045,3.00017976468128
"mu_walking",-2.98486196364882,0.616436034683225,-4.84212764294788,1.06593637203929,-2.80022526854802
"mu_rent",-3.02616142465324,0.25048142776041,-12.0813804508804,0.358473164498822,-8.44180743315636
"sig_asc1",16.036516922156,4.29012263586444,3.73800897626897,5.21435047484965,3.07545819934905
"sig_asc2",7.44184509662767,2.39779278083861,3.10362311376421,2.10974656488281,3.5273644808807
"sig_natural",18.3668217911308,3.59834206665627,5.10424563615711,6.25515045271606,2.93627178594173
"sig_walking",1.87438723952415,0.377438091371204,4.96607862951683,0.655084297821996,2.8612916623953
"sig_rent",-1.53308230774983,0.270940836438306,-5.65836559709197,0.329674152042133,-4.65029574885781
