"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-13.0031902551829,2.06500074475835,-6.29694216246131,2.45470502954677,-5.29725164476635
"mu_asc2",-15.0496432012476,2.07934603493454,-7.23768095757155,2.253175801609,-6.67930269378033
"mu_natural",26.3453754349466,1.91675135616808,13.7448059447917,2.51081345021268,10.4927649773085
"mu_walking",-3.17736478843824,0.248253217504233,-12.7988866383336,0.301881909322852,-10.5251911105417
"mu_rent",-3.02244348865577,0.0900556805238545,-33.5619415796338,0.10814161757932,-27.9489391439781
"sig_asc1",19.2206167037051,2.79076370780161,6.88722468691048,4.33040533152396,4.43852601136091
"sig_asc2",20.1328936574638,2.71575400216369,7.41337162402176,3.8762870335901,5.1938603831454
"sig_natural",17.1034711614982,1.25819288368161,13.5936797794083,1.50618496199699,11.3554919170228
"sig_walking",-2.00436987208288,0.168236449636129,-11.9140048212979,0.196282379250459,-10.2116648460088
"sig_rent",-1.05826126050364,0.100476442545661,-10.5324316197075,0.144864869636042,-7.3051614457143
