"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-11.8292270319707,2.44929143063125,-4.82965272487888,2.42572714647875,-4.87656950582522
"mu_asc2",-12.8536028362179,2.67472972067178,-4.8055707224839,2.60246090817239,-4.93901860191416
"mu_natural",17.8843796923797,2.09003149709673,8.55699051292909,2.34961212231082,7.61163066982756
"mu_walking",-2.66126942171049,0.392473706024079,-6.78075850907377,0.494839640466058,-5.37804412597991
"mu_rent",-2.84001469597566,0.149858393944927,-18.9513221195962,0.150952514944744,-18.813960781079
"sig_asc1",16.1653620688954,2.56775971745054,6.29551198230711,2.38105250368191,6.78916657398284
"sig_asc2",-20.3151401724304,4.30024061226327,-4.72418685468354,5.63915961025151,-3.60251200116756
"sig_natural",12.9575331363716,1.68598722025921,7.68542784943494,1.70564625189,7.59684672130197
"sig_walking",-1.61494545300782,0.251809849485846,-6.41335299753074,0.308951180474845,-5.22718654295385
"sig_rent",-1.24483675037792,0.17879711702692,-6.96228647909629,0.224027992015179,-5.55661254283608
