"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-17.6722973757463,1.29707668956894,-13.6247128006127,1.68565591160864,-10.4839292847622
"mu_asc2",-19.103130793023,1.36705599993862,-13.9739197179053,1.6782273542778,-11.3829218337606
"mu_natural",25.0755962633758,1.20567836357931,20.7979151163778,1.89858932052252,13.2074883137311
"mu_walking",-2.67547026018172,0.135126176844322,-19.7997924803579,0.200965373348501,-13.3130907857549
"mu_rent",-2.90591482808459,0.0563200996735715,-51.5964077643172,0.0746743299284419,-38.9145082502814
"sig_asc1",19.7298602514044,1.37611674465142,14.3373447987527,1.77624420849694,11.1076281949428
"sig_asc2",25.8926272165244,1.10976087462406,23.3317174975157,1.5535354014088,16.666905171935
"sig_natural",20.184961282836,1.05250076455618,19.1780965511675,1.66334081075242,12.135192711171
"sig_walking",1.65550188773234,0.0870514221104904,19.0175168606791,0.12546774792719,13.1946409741334
"sig_rent",1.19274038096432,0.0574163676803662,20.7735255494433,0.0696272171348124,17.1303755922764
