"mu_asc1","mu_asc2","mu_natural","mu_walking","mu_rent","sig_asc1","sig_asc2","sig_natural","sig_walking","sig_rent","logLike"
-10,-10,10,-3,0,5,5,10,5,2,-1223.84379629118
-10,-10,10,-3,0,5,5,10,5,2,-1223.84379629118
-10.0303569636525,-9.9568193600081,10.100862469955,-3.12581813594964,-2.5970999418332,5.07647606447341,5.16057865524676,10.024609817725,4.39073033034222,4.98054391709561,-1178.70632277378
-10.0330367277236,-9.95582054615697,10.1018748362097,-3.24200785316679,-2.65657563208627,5.07924951621443,5.16638295374005,10.0275645403403,4.3111250559004,5.04904131593233,-1178.63496837161
-10.1347934550724,-10.2169495009732,10.7219867677409,-2.55744959761444,-2.54525413821131,5.4606901035559,5.57882425775765,9.99621466048541,2.61009173815128,4.93649020007761,-1150.68003040025
-10.1103432938571,-10.275804348262,10.8634155804177,-3.04821561051298,-2.24190281428423,5.58327965429318,5.68472683948886,9.9388190348197,1.64537800881904,4.46259356854172,-1141.61941908817
-10.0890281482898,-10.2545603129098,11.3662230827617,-2.75343757838328,-1.77451649109099,5.74440207175162,5.9577730983547,9.67331175474214,1.16821700395351,3.65615557506183,-1128.00034516319
-10.0139444952035,-10.5623746824237,11.386224586589,-2.57284393451236,-1.27554319680514,5.9915329890695,6.17415681160897,9.76852925209453,1.07856377935737,2.43103083054427,-1111.92830320599
-9.99691486869529,-10.6426449333486,11.3686935364331,-2.48602362497048,-1.21445156131094,6.04654532460124,6.23039435387791,9.80561908709801,1.01622271894492,2.14864036047764,-1111.72757678634
-9.96216283420304,-10.7426888374851,11.4624266223457,-2.43525783301556,-1.48714673695354,6.23392505138829,6.46568501014297,9.80369171215723,1.0001533873812,1.77697456867224,-1104.01100017163
-9.72321183841656,-11.0937356609621,11.6940536637603,-2.11986644094554,-1.9054524723089,6.77408583337325,6.86188823755076,10.0015178473652,0.866300713618374,1.40857822816211,-1089.213663125
-10.1810237125931,-11.7829723411091,11.8290804235506,-1.50934710657939,-2.17756733981746,7.01752068672455,6.9871065901833,10.1960528550785,0.590169218117503,1.32193641412416,-1077.80579805648
-12.2840615511546,-13.0709618823331,11.7381113400973,-1.03033294416804,-2.03791930555806,7.81117431655857,9.42677901177531,10.5957084693607,0.38890041821209,1.64133987250485,-1073.79114489526
-13.0290565310166,-13.6270695982179,11.9579089245828,-1.17538378785288,-2.24388899862046,8.12054105441607,10.2052163834623,10.7014501972702,0.460387843118343,1.53381489283433,-1069.26556048173
-15.3442614005132,-14.8300523752386,12.779584499211,-1.39071427800114,-2.64616285768779,9.57012268233176,13.3592040860235,12.1427250881597,0.583901789044734,1.04562392250317,-1061.90174215255
-21.2711751393824,-18.9129702396737,14.5709898206356,-2.36824109093816,-2.47121542349792,14.6308532025623,24.9019041683719,15.727920799371,1.10151938772472,1.02158273438758,-1051.5000226626
-24.303694806221,-22.2722650696754,15.6584949385625,-2.54406373738657,-2.7653643164745,18.3376500985074,30.0281065804262,16.5468404632565,1.23251914470037,0.914103063129536,-1044.696822628
-27.5378819438126,-26.1488475508842,16.9991946411643,-2.74515759877737,-2.90541306481904,24.0867994518975,36.7762685711912,17.8357098024687,1.40253710942534,0.714154556109397,-1039.85625247338
-29.7755173257872,-30.382866505383,18.136048489802,-2.71331058789819,-2.88379330039848,30.2953745787935,42.3210955778575,17.9699014591833,1.46679018499752,0.846861581758483,-1034.29856599376
-30.7980240395788,-33.6732815665389,19.0593091130362,-2.52704157100312,-2.83175590870684,35.7706221009984,45.8216994695551,17.5855457139474,1.45451583217886,0.869938795877825,-1031.74278000153
-30.721085068677,-34.3690064691952,19.223974260806,-2.40373334424292,-2.82289621146679,36.8249299119893,45.9870729758076,17.079841314953,1.41460713156156,0.888138392674453,-1031.4115661568
-30.5627237651197,-34.2392195346351,19.217785401299,-2.36049578357183,-2.82030781672189,36.4842052912526,45.584119208045,16.7868161353399,1.39479604680771,0.879604239138295,-1031.18177800654
-29.6735785046216,-33.0430195864996,19.174469128392,-2.14426421634231,-2.80205275951098,33.3267053646346,42.9589729068449,14.8166378011721,1.29070454503108,0.828999589145895,-1030.19260404318
-29.9932928210136,-33.1110766081622,19.3453572784373,-2.185187311332,-2.80549769087629,32.927685772726,43.4001946211805,14.6257938240248,1.31507662588436,0.826189765575408,-1029.88800853258
-30.731212511072,-33.5244935193475,19.8335377497501,-2.33797182317248,-2.81379503663843,32.8033561672157,44.8940780555463,14.7112382372192,1.39826876538512,0.849125792062133,-1029.51394619087
-30.8119634347259,-33.6195921078692,20.1538499826594,-2.4158585922369,-2.81707834160991,32.7571918595992,45.3745253216251,14.8354386574557,1.43914319605554,0.85441620003372,-1029.36843230767
-30.8099808285221,-33.6186444393011,20.1559692477404,-2.38992841696745,-2.82895936463309,32.757700990991,45.3740647987371,14.8359813642729,1.50399777868777,0.859858955735688,-1028.71895931478
-30.8079088849214,-33.617995372326,20.1582663018308,-2.354308950768,-2.82322386378587,32.7584775998137,45.3736021536648,14.8361796669864,1.57809519398943,0.858832396499974,-1028.11269732238
-30.7987664940157,-33.617029451718,20.1688797272564,-2.39805649583782,-2.77962277411174,32.7609956017206,45.3701054439542,14.8331762135596,1.61638748430555,0.906519332814085,-1028.0123199
-30.7954093214887,-33.6168706269712,20.1723584462131,-2.40947954393109,-2.78538487743649,32.7620279865834,45.3687607778535,14.8323310615037,1.62471007825752,0.913616173555854,-1027.99436352682
-30.7692733386602,-33.6163635623844,20.2009647700812,-2.488625973775,-2.7943359625101,32.7704375426678,45.3580808183256,14.8263101751312,1.67253592198452,0.893266926942947,-1027.9431167332
-30.4459904385212,-33.6011676942514,20.6800555830224,-2.54184301277929,-2.79932858166127,32.8753651659714,45.230951495672,14.7509081019075,1.70761635525072,0.913652655386784,-1027.68324893958
-29.3541268110471,-33.5085288853102,22.214928823272,-2.69511286102066,-2.80725954996437,33.1913920864393,44.76857653144,14.5726712238789,1.81548015277022,0.939025742763324,-1027.36721548015
-29.1817965339158,-33.3950697452812,22.4114596500775,-2.72287005531183,-2.79402421899175,33.1671480707909,44.6720765538763,14.8381771313526,1.80745547059603,0.959486333792668,-1027.28868233471
-28.9946270731922,-33.2138280943689,22.6296354424933,-2.76113612783365,-2.7997187720152,33.0452137091348,44.5162276743246,15.2582766389762,1.83484671336182,0.958688444929462,-1027.18586540056
-28.9396215829046,-32.9527427347255,22.7125186123253,-2.75051417198408,-2.80164345829546,32.78138825941,44.3921850783858,15.6700783891962,1.83882160897057,0.956521380951415,-1027.12824640595
-28.9878911297109,-32.8966981598072,22.6425900904276,-2.73869478361772,-2.80297194256956,32.7149470780166,44.3729427182706,15.6111055729045,1.83456029654496,0.951261695771676,-1027.11736910855
-28.9436507393598,-32.592074974892,22.6809888126243,-2.72945471855211,-2.80324682931925,32.464655741046,44.1490332160637,15.3970365091994,1.83368823324581,0.944836406260567,-1027.09179232501
-28.9312876162478,-32.3637172383275,22.5686914041217,-2.72425168199448,-2.79946184201654,32.2791159030765,43.9649857836348,15.2867182922981,1.82748260353186,0.945782766114857,-1027.06845794383
-28.6949748800698,-31.5788553677306,22.2854781538251,-2.71517079294309,-2.78681763136192,31.6936735560521,43.2112969972025,15.0829770195496,1.81578296515856,0.952472711328583,-1027.01251233463
-28.2901196612511,-30.807503976966,21.9663750035743,-2.69583013785577,-2.77191808177701,31.1823969669272,42.3263815335662,14.8541222030912,1.79849990882164,0.959575477393903,-1026.9600846068
-27.4390193650614,-29.6631217791297,21.4334114524017,-2.64663284292378,-2.74210903134325,30.5009380276274,40.8521030179512,14.5020880196002,1.762091276512,0.974630232894369,-1026.88572470331
-26.8833529530199,-29.2262706818582,21.1812259082582,-2.60824292341826,-2.72454585287782,30.2831035203631,40.1944872891521,14.3374091376853,1.73904233211425,0.982408207390264,-1026.85167757969
-26.7125825949212,-29.2277357790766,21.1338052165223,-2.59183596894537,-2.72171289712838,30.2653849244254,40.2009293434658,14.3171776038316,1.73278563045244,0.980136934593406,-1026.83744083127
-26.5069502519796,-29.2604470846199,21.0739993555842,-2.57999264479159,-2.72052485825596,30.2090973332999,40.3087784371549,14.2856495190589,1.72798630800514,0.975733586201539,-1026.8235962283
-26.1233452263167,-29.2058183791456,20.9358323339905,-2.5637262886679,-2.71616379667304,30.0051846263218,40.3866383922807,14.2172843954104,1.71727618377919,0.972892563634236,-1026.8070148851
-25.7444915162884,-29.0438183442426,20.7759214279935,-2.55267877301988,-2.70988903560581,29.6993768278593,40.3308659691606,14.1277679826312,1.70747289037333,0.974350531841145,-1026.79643349869
-25.6116844945637,-28.9505932006472,20.7033163716541,-2.55074892021979,-2.70644519042808,29.5258491084415,40.2383787845019,14.0786152472721,1.70394585652805,0.977463088972082,-1026.79309563377
-25.6116946743952,-28.9506269239573,20.7033190322381,-2.55091005161216,-2.70647247468688,29.5258232041071,40.2383565022687,14.0786137965812,1.70372577128434,0.977537612469314,-1026.79305534919
-25.6119487889491,-28.9515330933548,20.7034214832925,-2.55111573885605,-2.70669811012947,29.5251357198915,40.2377551642515,14.0785788331002,1.7039640897478,0.979206782546068,-1026.79304544994
-25.611958575965,-28.9515666681621,20.7034246867847,-2.55120228018903,-2.7067161823413,29.525110083403,40.2377329335881,14.0785774607717,1.703855187541,0.979275006394858,-1026.79303600135
-1.00024604018454,-1.00103140621905,1.00013014902286,-1.00021975477391,-0.999631278714459,0.999260532481838,0.9990473391116,0.999973009286113,0.999842432201433,0.999894046129809,-1026.79166160858
-1.00071935735624,-1.00230801906746,1.00017340428992,-0.999444848170688,-0.99981557811708,0.997844934361572,0.998381685699403,0.999796149697669,1.00052665335967,1.00005559000746,-1026.79076426586
-1.00115508413012,-1.00302944492258,0.99992708333433,-0.999493341282773,-1.0002272060774,0.996706949052585,0.998609014423255,0.999524999070242,1.00032503902619,1.00039190564682,-1026.79022497641
-1.00120766252402,-1.00496839885192,0.9991338986238,-0.998946827916898,-0.99886851844173,0.995815528346344,0.999999097317482,0.998416236773995,1.00003926516466,1.00133957005553,-1026.7901559446
-1.00006448510263,-1.00825563335989,0.998181270395929,-0.998033864213583,-0.998916475365452,0.996044021690254,1.00085431833734,0.996792930013923,0.99912623264987,1.00330928128687,-1026.79000322398
-0.999517663374853,-1.00892556921728,0.999055012644539,-0.997383885025951,-0.998729934410927,0.99574966905818,1.00117776872086,0.996581546897618,0.998324665756362,1.00444097145047,-1026.78996347244
-0.999408992575278,-1.00897425837595,0.998860506537298,-0.997071981906911,-0.998532259640069,0.995611016132434,1.00104791795364,0.997022406992065,0.997994667082183,1.00525164760878,-1026.78987530658
-0.999303618938091,-1.0081530090472,0.998566605833715,-0.997043591307084,-0.998219839684408,0.995215101077837,1.00016804221815,0.996107518149583,0.997929343480498,1.0063337836446,-1026.78974278948
-0.996882190112085,-1.0068574054818,0.997683670864548,-0.997182569447055,-0.997860184133549,0.993375295890451,0.999066617681379,0.995536219435624,0.997930208972834,1.00654925571931,-1026.78952133804
-0.996327480716627,-1.00569452878211,0.996569630616413,-0.995467522429504,-0.997825986592221,0.992296215373186,0.997830399815854,0.995026648975818,0.996063933485242,1.00489559681766,-1026.78920822539
-0.99958943160763,-1.00745520861829,0.998719743887089,-0.99788088599979,-0.998604579644374,0.994051526704789,0.998532627351129,0.997552479752461,0.998286439530213,1.00438757508008,-1026.78884319479
-0.999367114470955,-1.00672748415212,0.998283793783753,-0.997482304109192,-0.99846234099361,0.993583810903775,0.997818056021266,0.997223917460888,0.99783850593472,1.00447641133953,-1026.78882020082
-0.99937761296774,-1.00674288223114,0.998297498591784,-0.997488655189445,-0.998468500925926,0.993599543773045,0.997835208746091,0.997238468832865,0.997844610918472,1.00446158327075,-1026.78882018672
