"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-7.14670645402926,2.83392379831523,-2.52184143351984,3.23018877211048,-2.21247331293269
"mu_asc2",-5.33295704636008,3.26590801125285,-1.63291710237555,3.23704271157818,-1.64747812170821
"mu_natural",19.4654744841243,3.1777832840826,6.12548834957565,3.34239201632702,5.82381551566623
"mu_walking",-1.93549285620063,0.370146976950107,-5.22898463780109,0.345526627819199,-5.60157365704791
"mu_rent",-2.59858100343258,0.365969874281943,-7.10053254665063,0.32752914500107,-7.93389242787565
"sig_asc1",4.95153529413888,2.3194851168631,2.13475622591422,2.11034315335984,2.34631760538831
"sig_asc2",11.3968855437721,3.00241206144803,3.79590985864728,2.59544167788086,4.39111602502949
"sig_natural",17.9182517964555,2.58078200958888,6.94295439517182,2.43290631287701,7.36495758246704
"sig_walking",1.1015075435581,0.227396900100584,4.84398662897723,0.216683425382857,5.0834877730581
"sig_rent",1.82082572570959,0.405931353620626,4.48555084368106,0.463979943251218,3.92436300791503
