"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-11.9202219502785,1.04921615678193,-11.361073572141,0.861139324163453,-13.8423848682771
"mu_asc2",-18.2895534845907,1.11834466020616,-16.3541295768508,0.919778312703942,-19.8847409554848
"mu_natural",21.1202888580095,1.04126131796628,20.2833702679555,1.01126257191522,20.8850692634753
"mu_walking",-3.10115647447222,0.165059496326067,-18.7881130349873,0.173252974582124,-17.8995857470963
"mu_rent",-2.66182122172311,0.127317237260859,-20.9069979760033,0.127959439534761,-20.8020700262602
"sig_asc1",22.9155111136115,1.52981972525088,14.9792231956308,1.12358120090002,20.3950645447391
"sig_asc2",23.1738863153486,1.16966892410818,19.8123467570258,1.21772971759795,19.0304022152474
"sig_natural",20.2588322117168,1.0209650078773,19.8428271835067,1.03876290308534,19.5028453091113
"sig_walking",1.43976975144517,0.0737564061486811,19.5206060954601,0.0697391689841546,20.6450660714398
"sig_rent",-1.69412377517215,0.169772092378976,-9.97881189677755,0.206911350875209,-8.187679254938
