"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-14.6913781549069,0.886001242534653,-16.5816676654742,0.503271642131474,-29.1917464148892
"mu_asc2",-11.6059372863333,0.574012573467391,-20.218960041635,0.217437320687216,-53.3760131409475
"mu_natural",15.8629165466947,0.45390851842522,34.9473867591847,0.285310212938716,55.5988388333718
"mu_walking",-2.03347736691242,0.0884886426879644,-22.980094452155,0.0445027469013019,-45.6933000433043
"mu_rent",-2.22990971708675,0.198756008279823,-11.2193323682941,0.191141506362878,-11.6662767784895
"sig_asc1",14.186538876914,0.721379150921771,19.6658565177363,0.321284918008401,44.155632840951
"sig_asc2",16.4333473793742,0.86340302246243,19.0332289230425,0.469986385903036,34.9655817110511
"sig_natural",12.0117039316539,0.464737868753041,25.8461914538686,0.348246916955366,34.491917506892
"sig_walking",1.39599528135529,0.0763836187208309,18.2761082118591,0.0436431050049676,31.9866169282959
"sig_rent",1.96334633608475,0.237288557068612,8.27408771977592,0.298989294922442,6.56661080990892
