"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-28.4074166728731,7.99748266473325,-3.55204479506309,11.2207460652135,-2.53168697587244
"mu_asc2",-29.2937343050572,7.30502177248651,-4.01008172424463,9.27154846054002,-3.15952987030508
"mu_natural",10.3800027605038,2.77112254681383,3.74577543401623,3.08831192585132,3.36106034938243
"mu_walking",-1.07720924331838,0.331885247017878,-3.24572801291272,0.433092518913726,-2.48724971287941
"mu_rent",-2.23258925888905,0.271026484917013,-8.2375316920509,0.339346469106787,-6.57908498286597
"sig_asc1",26.7513214735085,6.79091701671366,3.9392796889829,10.2823521913173,2.601673330748
"sig_asc2",33.4365307356708,6.68682040452483,5.00036320895429,8.34009543449539,4.00913047078266
"sig_natural",-3.90524923016764,1.46401887993215,-2.66748556572483,1.48030719036927,-2.63813433831492
"sig_walking",0.715183905574566,0.257006345585353,2.7827480443943,0.316039142845724,2.26295989520414
"sig_rent",0.918131974030712,0.278495736867575,3.29675414193965,0.317977044534125,2.88741589939578
