"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-13.4019520015142,1.37897192676404,-9.71879973870382,1.11694405027751,-11.9987675284044
"mu_asc2",-13.9257582270787,1.09844557968181,-12.6776951764079,0.768496796478676,-18.1207758976847
"mu_natural",20.3888784106774,1.09889742856016,18.5539413240707,0.877481142548156,23.2356884063277
"mu_walking",-2.41196368560681,0.145176154969315,-16.6140485406617,0.116419721461797,-20.7178273175847
"mu_rent",-2.22374839286461,0.220296013806148,-10.0943650974158,0.281006621876427,-7.91350886329828
"sig_asc1",18.9994971554315,1.11513051849055,17.0379133566799,0.610752280158226,31.108352392085
"sig_asc2",17.6849825875505,2.00450164688749,8.82263310434841,1.47730149178676,11.9711397340843
"sig_natural",15.3716125877628,0.993027859365626,15.4795381043817,0.757642886674892,20.2887308230729
"sig_walking",1.33041703570414,0.127487296609768,10.4356831706651,0.117194196302727,11.3522433505795
"sig_rent",1.73646831399202,0.255370333482438,6.79980438726816,0.321108552811053,5.40772987449446
