"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-19.0027558980948,2.07862270472344,-9.1419938091281,1.43069592173736,-13.2821766032707
"mu_asc2",-15.7736270291825,2.10734468178596,-7.48507216950123,1.4856057755446,-10.6176398132271
"mu_natural",21.8110111818231,1.63355298191872,13.3518847709516,1.21965740473489,17.882899818547
"mu_walking",-2.45019166308563,0.192371605457342,-12.7367636053178,0.137657680679374,-17.799164209315
"mu_rent",-2.62877678882782,0.262465980251254,-10.0156857902549,0.262370171770903,-10.0193431710798
"sig_asc1",16.9668228891811,1.82308945235109,9.30663213881268,0.989103517202549,17.1537383035173
"sig_asc2",15.3948675790006,1.25947617026422,12.2232305322386,0.835552842385376,18.4247683665949
"sig_natural",23.9520047679438,1.69710361554842,14.1134604560982,1.2740458559796,18.7999550059581
"sig_walking",-1.75958042580533,0.153627675397828,-11.4535380506722,0.0994978459724134,-17.6846082305459
"sig_rent",1.87118732859654,0.320766090521553,5.8334948234524,0.355077548176794,5.26979905714814
