"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-14.6217100810789,1.78031006162712,-8.21301322518808,1.41440140662244,-10.3377372311834
"mu_asc2",-12.7583276519588,1.02198931844835,-12.4838170239678,0.732003585968843,-17.4293239767023
"mu_natural",21.0417277991472,1.13072363352933,18.6090811009844,0.826315657445404,25.4645154179926
"mu_walking",-2.19474887195969,0.135828101647604,-16.1582827510451,0.0911172016892674,-24.087096961607
"mu_rent",-2.54826720787565,0.204039978227344,-12.489058418916,0.210751989275393,-12.0913079712182
"sig_asc1",14.3176731935965,1.33147780818369,10.7532195471795,0.938318371017981,15.2588648329067
"sig_asc2",7.64634034707941,0.652479110092458,11.7189044504366,0.318181908890652,24.0313485255606
"sig_natural",15.9046227965021,0.992889015999902,16.0185303092361,0.754845753504193,21.0700301653267
"sig_walking",1.44784574443981,0.0901296542823476,16.064033041824,0.058421570073413,24.7827256717071
"sig_rent",2.14559430271074,0.275168942197121,7.79737090086903,0.337108344674756,6.3647024364847
