"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-17.3665264677202,4.06397479176439,-4.27328597187987,5.52984230047892,-3.14051025762817
"mu_asc2",-20.8485235149902,4.28334815332492,-4.86734273486656,5.69223058697495,-3.66262806757971
"mu_natural",23.6070453725332,3.74666115714059,6.30082208729809,6.04047867184397,3.90814149921115
"mu_walking",-2.97251139894796,0.513780078174155,-5.78557154164388,0.719774206758309,-4.12978316121585
"mu_rent",-2.9774235395762,0.155043815802684,-19.2037555587861,0.219242734460344,-13.5804889813338
"sig_asc1",12.513292709071,4.28315410176149,2.92151354160355,3.59121439736317,3.48441817293304
"sig_asc2",16.6706052816509,4.57699816764593,3.64225736411535,5.01411827776591,3.32473315509395
"sig_natural",16.2988142143678,2.80918610720475,5.80197024774043,4.63845308578808,3.51384694701479
"sig_walking",1.44392617757287,0.282733745329706,5.10701747288445,0.368826603592288,3.91491872741651
"sig_rent",-0.710907167679903,0.113486895834228,-6.26422251180731,0.106514618826641,-6.67426852305548
