"mu_asc1","mu_asc2","mu_natural","mu_walking","mu_rent","logLike"
-10,-10,10,-2,-0.05,-5214.66676562958
-10,-10,10,-2,-0.05,-5214.66676562958
-9.99999821239998,-9.99999633832975,10.0000076882051,-1.99975004217758,-0.0319931845825272,-4759.03062170542
-10.0696143388375,-10.0361950931302,10.182319124793,-1.74867836045827,-0.0351001659909166,-4748.01904565226
-12.7477291834082,-11.4959674659498,14.9648543115341,-2.32142080786238,-0.0217772124616042,-4665.08458085733
-14.8856840064176,-12.7246902174679,14.8464609724306,-1.78941152470219,-0.0254173658342266,-4611.2913198019
-25.0154866013226,-20.5529196772567,15.8033187541996,-0.759274605846157,-0.0276915476386335,-4575.82817099476
-26.6509299199121,-22.1680579474733,17.0534045847804,-1.28723243949389,-0.0236396961706235,-4535.43835202461
-31.3691587104875,-26.6018246849677,18.0244206035627,-1.34254502192607,-0.0224772276314276,-4516.73229416007
-40.9132056743244,-35.7450163474057,20.8643244650222,-1.45255221090935,-0.020034710297939,-4494.38499876893
-48.1935455071072,-42.7551580912864,23.7860366455859,-1.57442375658794,-0.0178691085279267,-4485.3197602315
-56.2552133445013,-50.6412749335438,27.0580244321542,-1.7038754276595,-0.0168032749387397,-4479.43458832675
-58.2955856023369,-52.5901626377887,28.0495342568397,-1.75250046382038,-0.0161650037989625,-4478.01544513999
-58.2955855860889,-52.5901626168655,28.0495343789711,-1.75250058710118,-0.0160579377552736,-4477.95381495628
-58.2922118445096,-52.5846053461039,28.1014229762953,-1.86697854170625,-0.0158713300082967,-4477.94338609732
-58.1837894009591,-52.3877829689817,29.9566202178987,-1.92712395269777,-0.0155964568006102,-4476.28745318308
-58.3205020021865,-52.5137340895001,30.3200820790527,-1.95037704947941,-0.0155121936040323,-4476.20076591825
-58.7524611075689,-52.9344297257595,30.8103024844249,-1.98159921746374,-0.0153653923929951,-4476.07437981806
-60.0631892170905,-54.2180169790708,31.7776670271229,-2.03825956320874,-0.0150330488900641,-4475.79468929108
-62.8059472937184,-56.8931886558109,33.2716471248111,-2.11708098184532,-0.0144715503257124,-4475.33594239417
-66.5604444427172,-60.5217993815783,34.8104651909431,-2.18556283644567,-0.0138775761201332,-4474.84057232919
-69.4900903499241,-63.2979622707214,35.5937166154602,-2.20870368084742,-0.013559402375483,-4474.54909625114
-70.7375598598267,-64.4154380901361,35.7448771857838,-2.211370101578,-0.0134262066691543,-4474.48637854925
-70.6959425308381,-64.3050157688447,35.5588608985223,-2.19877464573167,-0.0134764899780376,-4474.47858066133
-70.6959425319142,-64.3050157661008,35.5588608963813,-2.1987746249895,-0.0134605392253868,-4474.47768584738
-70.6966640777995,-64.3042101311913,35.5585199515185,-2.19750224809559,-0.0134621002217593,-4474.47764143831
-70.6966640798626,-64.3042101293197,35.5585199510009,-2.19750224973548,-0.0134665677238569,-4474.47757922292
-70.8351801347609,-64.1704822940574,35.5316104589351,-2.19755820398415,-0.0134625036057997,-4474.4754606349
-70.8378852260766,-64.1666650622223,35.5320168544949,-2.19759574407558,-0.0134646499963406,-4474.47540328508
-70.832049090488,-64.1708143275653,35.5342985758415,-2.19763828260838,-0.0134675629340812,-4474.47535044539
