"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-43.7974162131927,6.16195428247159,-7.10771521589825,10.0842488940365,-4.34315105402575
"mu_asc2",-42.5745467050588,6.0267417088089,-7.06427266375633,9.49962349916569,-4.48170884970314
"mu_natural",29.0442871008319,3.39777017167273,8.54804346184879,5.79340905171224,5.01333270990901
"mu_walking",-1.44216033170355,0.196707036990366,-7.33151367520307,0.416242144024164,-3.46471483584283
"mu_rent",-0.0198206107409434,0.00203659529014707,-9.73222850746751,0.0033552887619084,-5.9072742012434
