"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-40.1059145975595,6.10733905867038,-6.56683937346209,8.95025594042027,-4.4809796350557
"mu_asc2",-32.9339621838484,5.39477748023855,-6.10478602768841,7.60211966303165,-4.33220781093502
"mu_natural",20.8968854068882,2.81553561994719,7.42199290921427,4.0740728391902,5.12923706367554
"mu_walking",-0.931624838198645,0.142801190726312,-6.5239290615172,0.287349204955956,-3.24213473408232
"mu_rent",-0.0230440488364533,0.00271575042227223,-8.4853337948384,0.00386250943179028,-5.96608221763547
