"mu_asc1","mu_asc2","mu_natural","mu_walking","mu_rent","logLike"
-10,-10,10,-2,-0.05,-2667.06299422641
-10,-10,10,-2,-0.05,-2667.06299422641
-9.99999928722382,-9.99999727833179,10.0000063304411,-1.99980191976461,-0.0411578303888195,-2533.76214699063
-11.4350070256297,-10.8260375121243,13.340171498893,-1.46338210279792,-0.0463282020758429,-2438.469736148
-11.6870710423816,-10.9771327558521,13.7279544276014,-1.73102415113419,-0.0392093839416142,-2419.51231676803
-11.9711737102505,-11.1483505919936,14.1759745318959,-2.0373162519717,-0.0310926603536852,-2402.6576788076
-19.2354252099522,-16.1658715844999,16.7337521219371,-0.832144267009852,-0.0382065658564381,-2306.08533411824
-20.5957318851533,-17.0377101821462,17.1284918363413,-0.939975290307468,-0.0331768949168359,-2285.0038232615
-26.4219450397108,-21.1856359989901,18.119149539985,-0.818643227743172,-0.0256381047613627,-2275.67066149371
-26.3918981981956,-21.1944973523172,17.3780733304965,-0.784332075176528,-0.0290355589662979,-2268.28089443952
-27.9262978578179,-22.3593818876458,16.8684534942412,-0.785522674195165,-0.0291433363563874,-2265.53092565766
-30.6719176561892,-24.5239529545496,16.3341777950054,-0.752999852753433,-0.0286017679277546,-2263.80190966985
-31.0571895215881,-24.8698164383023,16.3084100262838,-0.755330446115502,-0.0281836100816034,-2263.70200786812
-31.0571895707985,-24.8698165149134,16.3084103682553,-0.755332203741103,-0.0282525821282149,-2263.69624095623
-31.057729978568,-24.8708236630108,16.3132941872441,-0.776558399330664,-0.0281273785305999,-2263.67250695104
-31.128840357726,-24.9887723188692,17.0988759568062,-0.807767061224132,-0.0275974797760788,-2263.32387917853
-31.3911461185143,-25.2883591093491,17.3841310415822,-0.819078565257392,-0.027312650237011,-2263.19334126086
-33.301837006199,-27.3261709709636,18.7070378490312,-0.867517243593998,-0.0257837682492595,-2262.59783157788
-35.5612867866199,-29.5572362153212,19.7669515943539,-0.900574219605541,-0.0245326332851492,-2262.14633163656
-37.9952650011981,-31.7546189993972,20.5470703255365,-0.919983446862395,-0.0236381035190049,-2261.81527539324
-39.4868128634006,-32.9148767457345,20.8932459480624,-0.931192806268369,-0.0231100220947,-2261.72264547995
-39.9468039272324,-33.1144136278495,20.8932977475518,-0.930344876771313,-0.0230905334125764,-2261.70530324245
-40.1797744940932,-33.1682787850206,20.9288635491505,-0.933036671926945,-0.0229830370361467,-2261.69951942593
-40.0903210299137,-32.9860511404573,20.8800888398371,-0.931583256944447,-0.0230404808771513,-2261.69678665732
-40.0903210324972,-32.9860511332107,20.8800888516297,-0.93158323661858,-0.023045699012195,-2261.69676395196
-40.0990224623278,-32.9589303644659,20.8937718426354,-0.931465277446711,-0.0230444335482144,-2261.69625169782
-40.1003515686599,-32.9524986295753,20.8910218878626,-0.931565118548396,-0.0230424039706875,-2261.69622404525
-40.1043000756817,-32.9388164536864,20.894322893042,-0.931582404980496,-0.0230407264317294,-2261.69614721463
-40.1055750199922,-32.9348377385004,20.8961081978973,-0.931608965970621,-0.0230425626129835,-2261.69611785133
-40.1059145975595,-32.9339621838484,20.8968854068882,-0.931624838198645,-0.0230440488364533,-2261.69611142406
