"mu_asc1","mu_asc2","mu_natural","mu_walking","mu_rent","logLike"
-10,-10,10,-2,-0.05,-1529.86030912752
-10,-10,10,-2,-0.05,-1529.86030912752
-10.0000026388226,-9.99999830049126,10.0000247518906,-1.99945495576693,-0.0298487969729145,-1447.61740809208
-10.0241366876085,-10.0106035949104,10.0793393737916,-1.26655504450866,-0.0411481879447072,-1383.41509118711
-10.237628569829,-10.1572864170602,9.52263325331605,-0.88340613525143,-0.0463416321045322,-1359.20852741409
-11.1327226192783,-10.7154573243465,9.06020644919368,-0.673376381055903,-0.0493514845525157,-1347.95178265235
-17.1648113816905,-14.5635287202453,9.66655678158756,-0.396135176189697,-0.0515863524019026,-1326.71263507213
-22.3935567070093,-18.6044374423123,11.9851567416044,-0.582308059356422,-0.0446037990210268,-1311.83062627225
-28.9141914839104,-24.5600142569117,14.3194605269,-0.664273000685363,-0.0354343809728741,-1300.49819212799
-34.8693368103403,-30.1828953772326,16.2124908362361,-0.670912046971713,-0.0304029917291467,-1297.09578124479
-38.5906790148499,-34.039593095533,16.9380814437147,-0.599505299744196,-0.0307689169346381,-1294.80302224346
-41.2429059345196,-36.6833135047995,18.1540680788685,-0.631821786890393,-0.0287572786325305,-1293.83899860773
-45.7368536804398,-41.2568842764206,20.4331168424174,-0.706017485124864,-0.0258549384140978,-1292.83776759052
-45.7368537581072,-41.25688434086,20.4331170335251,-0.706022563083316,-0.0263051185361853,-1292.56739960008
-45.7369049151503,-41.2568584133736,20.4345314453933,-0.756347522450894,-0.0260992818199488,-1292.36747617486
-45.7366001793334,-41.2103273952256,20.8773504131995,-0.793328559609598,-0.0261115325217234,-1292.1642191057
-45.7857933718412,-41.2174837426003,21.25292502059,-0.814284298085452,-0.0259619942634155,-1292.11328973516
-45.8697839201282,-41.2824174426205,21.38965352528,-0.81980328176636,-0.0258639679620365,-1292.10097039216
-46.1684784552069,-41.5361808806877,21.6594334984077,-0.82910072817901,-0.0256402230651795,-1292.07302156069
-46.924506931684,-42.2003861175861,22.1393248636658,-0.844177592568494,-0.0252079134765923,-1292.01705120016
-48.5342005808772,-43.6393969525683,22.9388193573147,-0.867282842363943,-0.0244548355224115,-1291.91676147507
-50.7755031825974,-45.6690279246619,23.8293414402037,-0.890130776952539,-0.0236158976116086,-1291.790754437
-52.9267151248165,-47.6441446545024,24.4666373425243,-0.904125251527529,-0.0230267762161373,-1291.68083051436
-53.953703962122,-48.6043310696374,24.6572524646838,-0.910546664336382,-0.0227911877721036,-1291.6521863621
-53.9537039643266,-48.6043310759666,24.6572524459323,-0.910546774207516,-0.022793646709174,-1291.65217942921
-53.9714111854072,-48.6493573124636,24.6209538500193,-0.910814476607574,-0.0227943260300747,-1291.65082894188
-53.9730207850351,-48.6490085775891,24.619839999841,-0.910767829912418,-0.0227897108200757,-1291.65081875701
-53.9799587587179,-48.663727602875,24.607056012001,-0.910826008580914,-0.022786899159585,-1291.65067783122
-53.9945488651801,-48.6820160346265,24.6001869743612,-0.910901833935046,-0.022794825875063,-1291.650661
