"mu_asc1","mu_asc2","mu_natural","mu_walking","mu_rent","sig_asc1","sig_asc2","sig_natural","sig_walking","sig_rent","mu_nat_income","mu_nat_age","mu_nat_education","mu_nat_flatsize","mu_nat_garden","mu_nat_gender","mu_nat_children","logLike"
-10,-10,20,-2,-2,5,5,10,5,2,0,0,0,0,0,0,0,-39713.4889301478
-10,-10,20,-2,-2,5,5,10,5,2,0,0,0,0,0,0,0,-39713.4889301478
-9.99999993030444,-10.0000009831713,19.999999724548,-1.99999918995917,-2.000013161055,5.00000046882033,5.00000060485065,10.0000018499914,4.99999361352116,1.9999991363886,0.000495761595219374,-2.1114619076252e-06,1.88015252351761e-07,7.56009638309479e-06,2.4082362651825e-08,-5.82632422447205e-08,-1.19644105434418e-07,-39702.6789302405
-9.99964292530176,-10.0031383781767,19.9983644940243,-2.02873035762327,-2.04053755154563,5.00164110086034,5.00164968597302,10.0075196202811,4.96792140925828,1.99764647947432,0.00178436526631999,-0.021048101711042,-0.000675090153350199,-0.011752197637717,-0.00204640049315066,-0.000320246284561502,-0.00094233015995826,-39654.7313979231
-9.99727024119573,-10.0395551627697,19.9878415039528,-2.04811237382595,-2.52153974714217,5.02006742971018,5.02328456544964,10.0764492711117,4.71475931384702,1.95487935618561,0.000870399779580881,-0.125062238686123,0.00467310386427282,0.168028473171922,-0.00279221015279808,-0.00210938201651024,-0.00712807171142819,-39462.9554899131
-9.99819665396831,-10.0766221304876,19.9871809527714,-1.93188485632947,-2.84093961556132,5.03616304688515,5.04339233499933,10.1318810803238,4.52363039909474,1.83321899856391,0.000865278868452696,-0.0508914702410372,0.01580303628276,0.0949007728841783,0.0102787648725933,0.000937626814780662,-0.0116642276332238,-39308.9126650435
-10.0154035707085,-10.2276083874689,19.9906485832094,-1.77124370260039,-3.01766433787553,5.08857402447443,5.1201383070022,10.3258838554282,3.73969817226977,1.07802723744353,0.000653313614293889,0.0103143295830853,0.0671479279288249,0.198199344594277,0.0653039061204215,0.0120985455609084,-0.0270313881007849,-39182.7545881022
-10.0427680654138,-10.374339136677,19.991207045165,-1.4783624681181,-2.95296559580286,5.13724865000218,5.19363429972077,10.5161954145813,3.08127816558976,1.10400108161933,0.000421743526435705,-0.0479246025621513,0.125626707485674,0.20276884760221,0.130882318728458,0.020473508171197,-0.040228492859604,-39021.6297436497
-10.0549587292555,-10.4201203129621,19.9772661296213,-1.47057470269638,-2.93600898207884,5.15227942811428,5.21630861446976,10.5724855301943,2.92635783451178,1.13703211552901,0.000270017241145605,0.0301364372369587,0.136660484837761,0.226139731094874,0.143916439026483,0.0132268940037214,-0.0479213622184959,-38992.7565838404
-11.1417620172971,-12.8277707290614,17.8683609520562,-1.1898314114538,-2.77961904688514,5.95542316237871,6.49265806334064,13.4749486567899,2.55396848698938,1.13156423254334,-0.000588295877979783,0.127129649737358,0.493087195125618,0.26468812541209,0.531619912256702,-1.26247924433767,-0.644492991040646,-38777.0186970322
-19.4173921152439,-24.5952768814217,14.5693147924844,-2.02298971234055,-3.00424244651259,11.8126752177684,15.4852175540306,15.819582892192,2.06488717454293,1.28323825136977,-0.000193013604439376,0.155643502061277,10.0243889299465,0.220493557780813,12.5797999148241,-4.22835351252756,-1.68605984315015,-38092.8345074541
-21.9906639952721,-21.8400925192633,13.3116544347962,-1.95441705468592,-2.91587722031012,14.861409975081,19.4353782005786,16.6942389135125,1.75781992175941,1.27879489389675,-0.000196765120745757,0.216991797807872,10.7097794871032,0.206333237482418,13.1777293785962,-3.64231106447395,-1.33841965258994,-37949.2672154736
-20.6857093283867,-21.4946734304942,12.075983119739,-1.86917753780297,-2.77740343478639,19.9949110792603,23.1913293964277,16.2613607568981,1.70210614691268,1.29810308528895,-1.79128408231012e-05,0.217665785211335,10.6410514922996,0.171205176844888,12.502284368638,-1.95100192863891,-1.02668152909155,-37850.6082498055
-20.6183144721395,-21.5670212612777,11.6858744546845,-1.79425773281305,-2.76599993400426,19.9888786992545,24.4296200762913,15.7202831193795,1.64841653854971,1.3010825571941,4.10830030802215e-05,0.193615912414318,9.90248199354767,0.147154193930417,12.0180539898363,-1.32491216983079,-1.00577542441109,-37827.1052632927
-20.4959729044842,-21.6128982534302,11.7541156012261,-1.79480132054773,-2.76044257147002,20.0538386885124,25.2130423066635,15.7153163415212,1.75887479169421,1.29659886481314,7.31283866969078e-05,0.181410732950028,9.28132217785692,0.134811891910252,11.6660771357011,-0.411247335546559,-0.830418133782623,-37812.4014178273
-20.7571931334141,-21.594629177979,11.8032105826816,-1.72794255688467,-2.75314329599972,20.4631415353187,25.1837114711638,15.2905334554406,1.81837700004393,1.27709145570501,0.000259414624803194,0.165204970958463,9.10458381659906,0.109257733781273,10.2011909041712,0.609727597737007,-1.19347310694827,-37797.7020204695
-20.6910232708274,-21.2903244152553,10.9862053638808,-1.6284055181922,-2.73888382753945,21.3283596654718,24.5033220430645,14.612461122638,1.69838909737697,1.22969750340812,0.000549682525937785,0.156860659452607,8.66678613706882,0.0650338203319954,9.33224961845927,1.23841298862253,-0.508667980124211,-37773.1912381329
-19.2218361585769,-20.3398791811638,11.8090951857436,-1.70567941715346,-2.7760872375907,19.9997007482587,24.1932343971514,15.1314530823822,1.74085880919353,1.09150353707484,0.00105116121476163,0.184221906162591,7.52045167446664,0.00325161422504072,9.38593556230966,1.21303788669404,0.606961954132426,-37721.3722019877
