"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-1.49202466952236,0.209435841329346,-7.12401783788332,0.24156781983546,-6.17642147260602
"mu_asc2",-1.46233961821767,0.227534135606049,-6.42690211876409,0.248429345719658,-5.88634009392699
"mu_natural",1.01563961677383,0.0959257785313248,10.5877651693197,0.104557811163275,9.71366563123475
"mu_walking",-0.121990790321982,0.0156532039399405,-7.7933431896784,0.0181732236301982,-6.71266654746228
"mu_rent",-3.32364049809743,0.229362185141583,-14.4907954031122,0.23338907841092,-14.2407713365474
"sig_asc1",1.61695289121308,0.207069114892584,7.80875937028013,0.202191298195719,7.99714382192594
"sig_asc2",2.24114290305267,0.262602912402557,8.53434138467252,0.326067777668789,6.8732424868095
"sig_natural",0.744894700010112,0.0983577867564509,7.57331701509904,0.103497248747896,7.19724155976908
"sig_walking",-0.0814542602862301,0.0106969799463713,-7.61469692329955,0.011678556731297,-6.97468549927433
"sig_rent",1.37971308448728,0.180262939373153,7.65389208278251,0.167390492852262,8.24248176212139
