"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-1.05669574940029,0.0683730299395522,-15.4548621047583,0.0788487899998899,-13.4015468011844
"mu_asc2",-1.13983135609688,0.0704817136031704,-16.1720153757103,0.0797027332348792,-14.301032221039
"mu_natural",1.06687710504822,0.039769096475856,26.8267876212859,0.0481298030989285,22.1666625740252
"mu_walking",-0.127362208708043,0.00653784904767323,-19.4807508982438,0.00850042242666304,-14.9830446435872
"mu_rent",-3.33089007878374,0.0786698585048818,-42.3401051188752,0.0755276999360756,-44.1015691144164
"sig_asc1",1.50324535173754,0.0783164938613203,19.194492470506,0.0855461100344405,17.5723402400453
"sig_asc2",1.60949397909958,0.0835659026689,19.2601758336367,0.10351929303269,15.5477682656829
"sig_natural",0.857677057892723,0.0398195228761284,21.5391093600194,0.0457288177051289,18.7557234351267
"sig_walking",-0.0841243687353581,0.00454603384433321,-18.5050027377649,0.00553017309765699,-15.2118870874041
"sig_rent",1.46184314305395,0.0361418564862458,40.4473728019554,0.0296570328206018,49.2916183455297
