"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-1.19936841962423,0.0891319226085649,-13.4561039919606,0.103567097904634,-11.5805931023444
"mu_asc2",-1.15227467413361,0.0877549372625238,-13.1305965234357,0.0962116470358698,-11.976457213169
"mu_natural",1.11702868757869,0.0489462551693697,22.8215352474548,0.0566894086073816,19.7043630374588
"mu_walking",-0.139137910063659,0.00865378883826966,-16.078264984737,0.01065312694869,-13.0607577224796
"mu_rent",-3.49041864594233,0.111691204687238,-31.2506132932878,0.125543625101232,-27.8024363493394
"sig_asc1",1.53296235284396,0.101712239055968,15.0715623515124,0.117371562649179,13.0607646200124
"sig_asc2",1.60446875519218,0.0986774317567038,16.2597336252945,0.121148983820899,13.2437656890638
"sig_natural",0.820857912175469,0.0522952733896311,15.696598544568,0.0614645644144049,13.3549781080543
"sig_walking",0.105194282015997,0.0064511563848452,16.3062675496621,0.00728103756674304,14.4477048843263
"sig_rent",1.57539639158048,0.116290146508029,13.5471184695061,0.148862968818554,10.5828629113309
