"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-0.933775689955233,0.135555898649481,-6.8884917532787,0.159925192267528,-5.83882799648716
"mu_asc2",-0.847784637841797,0.12553613833646,-6.75331142949116,0.138154680895599,-6.13648869763921
"mu_natural",1.04629546243544,0.0742891132440366,14.0841021886801,0.0875715361626896,11.9478943533849
"mu_walking",-0.120432230820644,0.0121322672006752,-9.92660554112605,0.0150263904135043,-8.01471461252673
"mu_rent",-3.62167470924425,0.199651662378039,-18.139967712298,0.220630914720146,-16.4150826906468
"sig_asc1",1.43336170239104,0.161726822080534,8.86285703231884,0.175850245123978,8.15103613520978
"sig_asc2",1.34789719637235,0.148765547835575,9.06054671920497,0.190229837152912,7.08562450846696
"sig_natural",0.776855983042114,0.0700369199882802,11.0920923303325,0.0708644219655782,10.9625671316343
"sig_walking",-0.106100533788147,0.0110511703497598,-9.600841397803,0.0127192100420498,-8.34175498614912
"sig_rent",1.71759288614617,0.145027903759529,11.8431890803174,0.13416032575736,12.8025396215315
