"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-0.0144196579422643,0.00336951244478154,-4.27944937986399,0.00417029334637469,-3.45770830601152
"mu_asc2",-0.0184049202414638,0.00371944209102045,-4.94830132881952,0.00445318357528922,-4.13298035670323
"mu_natural",0.0259882297971562,0.00271571825818841,9.56956036171894,0.003285198670408,7.91070264068038
"mu_walking",-0.00345306324253833,0.000399437334006317,-8.64481846978208,0.000474190017525875,-7.28202432551189
"mu_rent",-44.4240919990287,4.41089237011204,-10.0714522757444,5.32264552615463,-8.3462428186765
"sig_asc1",0.0210056388753923,0.00366793577878656,5.72682842400842,0.00353289480768023,5.94573006525068
"sig_asc2",0.0269054563343407,0.00405764648827301,6.6308034502513,0.00515470723845441,5.21958960804301
"sig_natural",0.0156000558433626,0.0020210933107044,7.71862227277655,0.00222636457464659,7.00696373855974
"sig_walking",0.00200365744452299,0.000256282291303114,7.81816579809327,0.000274550081452388,7.29796703728334
"sig_rent",25.8790305244979,3.11264534045177,8.3141597239414,3.37597998697977,7.66563505243109
