"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-0.0329121292888568,0.00666286081488584,-4.93963932359598,0.00806378857212593,-4.08147225023038
"mu_asc2",-0.0356113952900051,0.00717223186274132,-4.96517624799625,0.00878877628669417,-4.05191736919271
"mu_natural",0.0270404068679677,0.00393691377688599,6.8684275044896,0.00485627218424822,5.56814071412139
"mu_walking",-0.00326642764496965,0.00050142835688648,-6.51424595380262,0.00061684339097018,-5.29539214132158
"mu_rent",-45.4295301030653,5.67682821807623,-8.00262547286669,6.70851838735802,-6.77191705826963
"sig_asc1",0.0372407873979147,0.00615188757021966,6.05355461601601,0.00617306719376028,6.03278503683835
"sig_asc2",0.0513897914678041,0.00772791550025199,6.6498904479647,0.01102288632091,4.66209937866451
"sig_natural",0.0185948805615796,0.00320864966996381,5.79523552715846,0.00403229534285437,4.61148774593893
"sig_walking",0.00193713750703313,0.000326865653721317,5.92640274369333,0.000371968201162023,5.20780405685632
"sig_rent",18.8786977599453,2.86332940698311,6.59326786289546,2.94762600130211,6.40471272529337
