"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-0.0237880190434685,0.00437161320569025,-5.44147387342163,0.00524576794785264,-4.53470669689195
"mu_asc2",-0.0283765233098669,0.00421959158320789,-6.72494547168803,0.00514110879840903,-5.51953370810754
"mu_natural",0.0256147486922082,0.0031127507596655,8.22897516374257,0.00385700350476906,6.64110070435156
"mu_walking",-0.00280932700882222,0.000372341094386357,-7.54503612729661,0.00044577168839251,-6.30216561969848
"mu_rent",-49.0324767468887,5.48137941121331,-8.94528057054078,6.55307232671636,-7.48236465313944
"sig_asc1",0.0286364568967694,0.00389795285444175,7.34653752010825,0.004400427869456,6.50765283429348
"sig_asc2",0.01936376352199,0.00558862373475736,3.46485368151748,0.00690290997494807,2.8051595040736
"sig_natural",0.0199096511436963,0.00265554264017266,7.49739463509493,0.00326437419776518,6.09907134951828
"sig_walking",0.001639616231699,0.000291968098859,5.61573760320583,0.000316745213755947,5.17645148369102
"sig_rent",31.2668240151435,4.22175813675987,7.40611446754746,4.92694672778451,6.34608526185611
