"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_asc1",-0.0160297573530133,0.00300658064133966,-5.33155742859799,0.00390960473307787,-4.10009667151026
"mu_asc2",-0.0156321924705063,0.0029602571137978,-5.28068740976735,0.00345534236095985,-4.52406471993238
"mu_natural",0.0149347123470848,0.00204458714682511,7.30451248814502,0.0029914926393538,4.99239481675975
"mu_walking",-0.00191317660103276,0.000280419437495026,-6.82255345108415,0.000396167939607863,-4.82920602542062
"mu_rent",-76.9967444617507,8.73858297430111,-8.81112471989873,11.2081533573938,-6.86970832808579
"sig_asc1",0.0172320426603729,0.00339336253726488,5.07816140218908,0.00377198813230358,4.56842441066993
"sig_asc2",0.0212391368296465,0.00324272283537852,6.54978482833156,0.00415638131342803,5.11000681314517
"sig_natural",0.0126892433851847,0.00193011972828142,6.57432966424481,0.00297325305097885,4.26779798678997
"sig_walking",0.00114134481946869,0.000177569496961923,6.42759504867794,0.000225668854594378,5.05760895326105
"sig_rent",43.4624792059784,5.33325388729629,8.14933624470893,6.30653428998976,6.89165827179685
